[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:14:59.517664']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:14:59.829466']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:15:59.264255']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:15:59.586067']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:15:59.889872']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:16:59.234970']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:16:59.553770']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:16:59.852583']
[[380, 572, 586, 700, 1, 1], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:17:59.226103']
[[380, 572, 586, 700, 1, 1], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:17:59.530917']
[[380, 572, 586, 700, 1, 1], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:17:59.852714']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:35:59.282224']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:35:59.596046']
[[380, 572, 586, 700, 1, 0], [850, 320, 980, 420, 2, 1], [345, 368, 550, 465, 3, 0], [1045, 430, 1217, 527, 4, 0], [716, 257, 830, 347, 5, 0], [281, 280, 385, 347, 6, 0], '2021-05-24 01:35:59.889863']
